vid,uid,s_min,s_sec,a_obj,split,label
_52ntwwQyv4,_52ntwwQyv4_0_5000,0,0,dog,train,v1s
_540cGuw2H0,_540cGuw2H0_0_5000,0,0,baby,train,v1s
_6uZ1HyHSQY,_6uZ1HyHSQY_0_5000,0,0,saw,train,v1s
_6vn5Jh31aM,_6vn5Jh31aM_0_10000,0,0,dog,train,v2
_8acDzOQAg8,_8acDzOQAg8_0_5000,0,0,bird,train,v1s
_8dKlPEnqAM,_8dKlPEnqAM_3000_8000,0,3,bus,train,v1s
_8m_rszChvE,_8m_rszChvE_0_5000,0,0,bird,test,v1s
_954W_4YrmA,_954W_4YrmA_3000_8000,0,3,cat,train,v1s
_9dH157OzIo,_9dH157OzIo_20000_30000,0,20,guitar,train,v2
_9dH157OzIo,_9dH157OzIo_40000_50000,0,40,girl_guitar,train,v2
_9dH157OzIo,_9dH157OzIo_90000_100000,1,30,girl_guitar,train,v2
_9IyqbNkaoU,_9IyqbNkaoU_0_5000,0,0,saw,train,v1s
_9wN5d1Z1ak,_9wN5d1Z1ak_0_5000,0,0,lion,val,v1s
_9YQdLAGXDA,_9YQdLAGXDA_1000_11000,0,1,tiger,train,v2
_aldtLqTVYI,_aldtLqTVYI_1000_11000,0,1,clarinet,test,v2
_AWLuFBcPeQ,_AWLuFBcPeQ_0_5000,0,0,saw,test,v1s
_BJLECsnyFg,_BJLECsnyFg_10000_20000,0,10,marimba,val,v2
_BJLECsnyFg,_BJLECsnyFg_165000_175000,2,45,marimba,val,v2
_caFr8RrH-Q,_caFr8RrH-Q_5000_10000,0,5,cat,train,v1s
_D1gzbMP7wY,_D1gzbMP7wY_0_5000,0,0,saw,train,v1s
_d3Av_Hdang,_d3Av_Hdang_0_5000,0,0,saw,val,v1s
_DAJ3RfRVrk,_DAJ3RfRVrk_0_10000,0,0,woman,train,v2
_DAJ3RfRVrk,_DAJ3RfRVrk_25000_35000,0,25,woman,train,v2
_DAJ3RfRVrk,_DAJ3RfRVrk_38000_48000,0,38,woman,train,v2
_dRqfb20DdU,_dRqfb20DdU_6000_11000,0,6,ukulele,train,v1s
_eJr86Ywo9Y,_eJr86Ywo9Y_0_5000,0,0,keyboard,train,v1s
_fdY5ZOOBWI,_fdY5ZOOBWI_0_5000,0,0,lion,train,v1s
_fTONy_pqik,_fTONy_pqik_0_5000,0,0,dog,train,v1s
_fvpYLXtQHQ_0,_fvpYLXtQHQ_0,0,0,guitar_tabla,train,v1m
_fvpYLXtQHQ_1,_fvpYLXtQHQ_1,0,0,guitar_violin,test,v1m
_fxCpMoW2Tw,_fxCpMoW2Tw_0_5000,0,0,gun,train,v1s
_Gd04M1s1wg,_Gd04M1s1wg_1000_6000,0,1,emergency-car,test,v1s
_GrqTKuk8x4,_GrqTKuk8x4_0_5000,0,0,tabla,train,v1s
_H9b1a0iElI,_H9b1a0iElI_15000_25000,0,15,piano_cello,train,v2
_H9b1a0iElI,_H9b1a0iElI_103000_113000,1,43,piano_cello,train,v2
_HcIHVLRzpM,_HcIHVLRzpM_1000_6000,0,1,woman,val,v1s
_Ia5jgxHjl8,_Ia5jgxHjl8_2000_7000,0,2,tabla,train,v1s
_if557QC-zE,_if557QC-zE_2000_7000,0,2,saw,train,v1s
_ix1jp3v8oE,_ix1jp3v8oE_30000_40000,0,30,clock,train,v2
_jClTVEXUT8,_jClTVEXUT8_120000_130000,2,0,pipa,val,v2
_Jj4RQDjwbQ,_Jj4RQDjwbQ_1000_6000,0,1,dog,train,v1s
_JTW58YuI8M,_JTW58YuI8M_3000_8000,0,3,baby,test,v1s
_JUuv3q0OCM,_JUuv3q0OCM_20000_30000,0,20,mower,train,v2
_KGFfSMXagc,_KGFfSMXagc_62000_72000,1,2,pipa,train,v2
_KHw5PWhJGM,_KHw5PWhJGM_0_5000,0,0,gun,val,v1s
_KXKXjCxrWo,_KXKXjCxrWo_0_5000,0,0,woman,train,v1s
_LoTBt8yRts,_LoTBt8yRts_0_5000,0,0,woman,train,v1s
_mB-DrTf79o,_mB-DrTf79o_0_5000,0,0,mower,train,v1s
_MDULwEwZJk,_MDULwEwZJk_5000_10000,0,5,baby,train,v1s
_n-Ey8CoFlA,_n-Ey8CoFlA,0,0,man,train,v1m
_nczZHex78s,_nczZHex78s_1000_11000,0,1,accordion_saxophone_trombone_tuba,train,v2
_Nz7aasD2tk,_Nz7aasD2tk_0_5000,0,0,piano,test,v1s
_O7JwtSY4yA,_O7JwtSY4yA_0_5000,0,0,bus,train,v1s
_p_uXkauODg,_p_uXkauODg_0_10000,0,0,cat,train,v2
_p04SYXuBSQ,_p04SYXuBSQ_3000_8000,0,3,dog,train,v1s
_pkB5RpsuXM,_pkB5RpsuXM_0_5000,0,0,mower,train,v1s
_pMIvJB5ciQ,_pMIvJB5ciQ_0_5000,0,0,bus,test,v1s
_pOWGjZBJUY,_pOWGjZBJUY_5000_10000,0,5,bus,test,v1s
_qQPBsuXklk,_qQPBsuXklk_0_5000,0,0,tabla,val,v1s
_QXdYpKI9lQ,_QXdYpKI9lQ_0_5000,0,0,piano,train,v1s
_QYbisnpKlQ,_QYbisnpKlQ_4000_9000,0,4,bus,train,v1s
_QymbafXKF8,_QymbafXKF8_10000_20000,0,10,bassoon,train,v2
_QymbafXKF8,_QymbafXKF8_70000_80000,1,10,bassoon,train,v2
_qzG1KvH8ww,_qzG1KvH8ww_0_10000,0,0,piano,train,v2
_qzG1KvH8ww,_qzG1KvH8ww_20000_30000,0,20,woman_piano,train,v2
_qzG1KvH8ww,_qzG1KvH8ww_150000_160000,2,30,woman_piano,train,v2
_RNEF3u-da0,_RNEF3u-da0_90000_100000,1,30,cello_marimba,train,v2
_rZxY2-Iwtk,_rZxY2-Iwtk_180000_190000,3,0,cat,train,v2
_s7SvgokgME,_s7SvgokgME_20000_30000,0,20,girl_guitar,train,v2
_s7SvgokgME,_s7SvgokgME_45000_55000,0,45,girl_guitar,train,v2
_sA56nnkAjk,_sA56nnkAjk_0_5000,0,0,saw,train,v1s
_sV9vC6iS1U,_sV9vC6iS1U_3000_8000,0,3,dog,train,v1s
_SZsYzVIP5c,_SZsYzVIP5c_0_5000,0,0,saw,train,v1s
_sZzRgGlHvg,_sZzRgGlHvg_5000_10000,0,5,bus,train,v1s
_ta7b5gmhJs,_ta7b5gmhJs_0_10000,0,0,handpan,train,v2
_ta7b5gmhJs,_ta7b5gmhJs_36000_46000,0,36,handpan,train,v2
_ta7b5gmhJs,_ta7b5gmhJs_60000_70000,1,0,handpan,train,v2
_ta7b5gmhJs,_ta7b5gmhJs_120000_130000,2,0,handpan,train,v2
_ta7b5gmhJs,_ta7b5gmhJs_150000_160000,2,30,handpan,train,v2
_TS8KX3k7-w,_TS8KX3k7-w_0_5000,0,0,bus,test,v1s
_Tt-SUwlGZU,_Tt-SUwlGZU_250000_260000,4,10,flute,train,v2
_u8a2bwbl8g,_u8a2bwbl8g_3000_8000,0,3,mower,train,v1s
_UfFY6PSVu0,_UfFY6PSVu0_5000_10000,0,5,baby,train,v1s
_vqSF8Xi_-s,_vqSF8Xi_-s_1000_6000,0,1,saw,train,v1s
_vTuIrVEyC8,_vTuIrVEyC8_60000_70000,1,0,woman_man,test,v2
_vTuIrVEyC8,_vTuIrVEyC8_151000_161000,2,31,man,test,v2
_VY9xxTbE3o,_VY9xxTbE3o_2000_7000,0,2,car,train,v1s
_VydVhney8w,_VydVhney8w_110000_120000,1,50,piano_guitar,train,v2
_VydVhney8w,_VydVhney8w_740000_750000,12,20,piano_guitar,train,v2
_WxkOwfoq1E,_WxkOwfoq1E_0_5000,0,0,car,train,v1s
_Xha6m87OOs,_Xha6m87OOs_0_5000,0,0,lion,train,v1s
_xsRyM_fXYI,_xsRyM_fXYI_0_5000,0,0,wolf,train,v1s
_xugJr2blWk,_xugJr2blWk_45000_55000,0,45,trombone,val,v2
_xugJr2blWk,_xugJr2blWk_110000_120000,1,50,trombone,val,v2
_Xzok7LYUBs,_Xzok7LYUBs_0_5000,0,0,saw,train,v1s
_Y-J232faOk,_Y-J232faOk,0,0,lion,train,v1m
_Ye6jnhjqd4,_Ye6jnhjqd4_5000_10000,0,5,tabla,train,v1s
_yikj0xnysI,_yikj0xnysI_0_5000,0,0,keyboard,train,v1s
_yRFAw-sQ0s,_yRFAw-sQ0s_5000_10000,0,5,saw,train,v1s
_zErn0QtjU8,_zErn0QtjU8_4000_9000,0,4,tabla,train,v1s
-_9NSq4U3nw,-_9NSq4U3nw_0_5000,0,0,guitar,train,v1s
-_doikqlNSY,-_doikqlNSY_0_5000,0,0,cat,train,v1s
-_KYvb4aTZY,-_KYvb4aTZY_0_5000,0,0,lion,test,v1s
-_OdoUNwgvc,-_OdoUNwgvc_41000_51000,0,41,trombone,train,v2
-_wznbUu3DY,-_wznbUu3DY_0_5000,0,0,helicopter,train,v1s
--bvmgIdDC8,--bvmgIdDC8_0_5000,0,0,woman,train,v1s
--FenyW2i_4,--FenyW2i_4_5000_10000,0,5,woman,val,v1s
--i-y1v8Hy8,--i-y1v8Hy8_3000_8000,0,3,woman,val,v1s
--iSerV5DbY,--iSerV5DbY_68000_78000,1,8,man_hair-dryer,train,v2
--iSerV5DbY,--iSerV5DbY_119000_129000,1,59,man_hair-dryer,train,v2
--KCIeTv6PM,--KCIeTv6PM_14000_24000,0,14,cat,test,v2
--kpfdHrlxI,--kpfdHrlxI_56000_66000,0,56,piano_bassoon,train,v2
--yJcmmwiMc,--yJcmmwiMc_0_5000,0,0,guitar,train,v1s
--yub8O1H0Y,--yub8O1H0Y_25000_35000,0,25,leopard,train,v2
--ZHUMfueO0,--ZHUMfueO0_5000_10000,0,5,woman,train,v1s
-0_vEaaXndY,-0_vEaaXndY_0_5000,0,0,bus,train,v1s
-03Hd0MBgQY,-03Hd0MBgQY_1000_6000,0,1,piano,train,v1s
-05wY41ht1s,-05wY41ht1s_123000_133000,2,3,helicopter,train,v2
-05wY41ht1s,-05wY41ht1s_235000_245000,3,55,helicopter,train,v2
-0gYWIOfqdM,-0gYWIOfqdM_3000_8000,0,3,marimba,val,v1s
-0TTFAArJ9k,-0TTFAArJ9k_3000_8000,0,3,horse,train,v1s
-10VmSN3WzE,-10VmSN3WzE_0_5000,0,0,tabla,train,v1s
-1HyqEM_VwM,-1HyqEM_VwM_6000_16000,0,6,piano,train,v2
-1HyqEM_VwM,-1HyqEM_VwM_100000_110000,1,40,piano,train,v2
-1HyqEM_VwM,-1HyqEM_VwM_137000_147000,2,17,piano,train,v2
-1HyqEM_VwM,-1HyqEM_VwM_210000_220000,3,30,piano,train,v2
-1HyqEM_VwM,-1HyqEM_VwM_254000_264000,4,14,piano,train,v2
-1HyqEM_VwM,-1HyqEM_VwM_314000_324000,5,14,piano,train,v2
-1HyqEM_VwM,-1HyqEM_VwM_360000_370000,6,0,piano,train,v2
-1IQfWwrPbc,-1IQfWwrPbc_243000_253000,4,3,frying-food_man,train,v2
-1q0XHPxqe8,-1q0XHPxqe8_0_5000,0,0,car,test,v1s
-1TeQpwlZGs,-1TeQpwlZGs_5000_15000,0,5,vacuum-cleaner,train,v2
-1XBP-nZ1bQ,-1XBP-nZ1bQ_0_5000,0,0,guitar,train,v1s
-26aVYRtEAc,-26aVYRtEAc_4000_9000,0,4,woman,val,v1s
-2kErLFAk5k,-2kErLFAk5k_33000_43000,0,33,cat,train,v2
-2McrNUTKQQ,-2McrNUTKQQ_1000_6000,0,1,woman,test,v1s
-2TjevpJuAs,-2TjevpJuAs_0_5000,0,0,guitar,train,v1s
-39sHTky_6o,-39sHTky_6o_5000_10000,0,5,ukulele,val,v1s
-3ABOVeVmpU,-3ABOVeVmpU_136000_146000,2,16,woman_piano,train,v2
-3cuiWZz8FY,-3cuiWZz8FY_5000_10000,0,5,woman,val,v1s
-3f9zdKh7Oc,-3f9zdKh7Oc_2000_7000,0,2,woman,val,v1s
-3i2L9kChxg,-3i2L9kChxg_160000_170000,2,40,handpan,val,v2
-3L1rzGAD_o,-3L1rzGAD_o_0_5000,0,0,guitar,test,v1s
-3Ptg4uALKc,-3Ptg4uALKc_0_5000,0,0,tabla,val,v1s
-3tQW7Zhl9U,-3tQW7Zhl9U_5000_10000,0,5,helicopter,train,v1s
-458eoazpK8,-458eoazpK8_0_10000,0,0,truck,train,v2
-458eoazpK8,-458eoazpK8_18000_28000,0,18,truck,train,v2
-46xqouqMxA,-46xqouqMxA_0_5000,0,0,cat,val,v1s
-4cdRRPG3Wg,-4cdRRPG3Wg_3000_8000,0,3,tabla,train,v1s
-4ELUORuKtk,-4ELUORuKtk_0_5000,0,0,guitar,train,v1s
-4l3tDv8uLI,-4l3tDv8uLI_215000_225000,3,35,helicopter,train,v2
-4LKin0t85s,-4LKin0t85s_0_10000,0,0,tank,train,v2
-4LKin0t85s,-4LKin0t85s_25000_35000,0,25,tank,train,v2
-4LKin0t85s,-4LKin0t85s_264000_274000,4,24,tank,train,v2
-4LKin0t85s,-4LKin0t85s_327000_337000,5,27,tank,train,v2
-4rdRn-FRXo,-4rdRn-FRXo_0_5000,0,0,woman,train,v1s
-5-tOp4t_kU,-5-tOp4t_kU_0_10000,0,0,helicopter,test,v2
-5-tOp4t_kU,-5-tOp4t_kU_22000_32000,0,22,helicopter,test,v2
-51CA8BX7gU,-51CA8BX7gU_0_5000,0,0,woman,train,v1s
-584aFK8XSk,-584aFK8XSk_0_5000,0,0,woman,test,v1s
-5doTJ3fhpM,-5doTJ3fhpM_99000_109000,1,39,tank,train,v2
-5dtmOk-Q2Q,-5dtmOk-Q2Q_0_5000,0,0,piano,train,v1s
-5kRgp_lxpk,-5kRgp_lxpk_0_10000,0,0,clock,train,v2
-5kVqkhkeKU,-5kVqkhkeKU_0_10000,0,0,duck,test,v2
-5npm3LS8mY,-5npm3LS8mY_35000_45000,0,35,bird,val,v2
-5npm3LS8mY,-5npm3LS8mY_50000_60000,0,50,bird,val,v2
-5npm3LS8mY,-5npm3LS8mY_68000_78000,1,8,bird,val,v2
-5npm3LS8mY,-5npm3LS8mY_83000_93000,1,23,bird,val,v2
-5npm3LS8mY,-5npm3LS8mY_97000_107000,1,37,bird,val,v2
-5ZIlKvRDXY,-5ZIlKvRDXY_5000_10000,0,5,woman,train,v1s
-6AOy8GAMpM,-6AOy8GAMpM_0_5000,0,0,keyboard,test,v1s
-6AOy8GAMpM,-6AOy8GAMpM_60000_70000,1,0,keyboard,train,v2
-6EzbBAmvjA,-6EzbBAmvjA_1000_6000,0,1,woman,train,v1s
-6GIX2msUSA,-6GIX2msUSA_5000_15000,0,5,helicopter,train,v2
-6GIX2msUSA,-6GIX2msUSA_22000_32000,0,22,helicopter,train,v2
-6HhoAY9Fbs,-6HhoAY9Fbs_0_5000,0,0,guitar,train,v1s
-6khcuB2d5U,-6khcuB2d5U_5000_10000,0,5,woman,train,v1s
-6pLGGF7dEI,-6pLGGF7dEI_52000_62000,0,52,clock,train,v2
-6pLGGF7dEI,-6pLGGF7dEI_63000_73000,1,3,clock,train,v2
-6R3wpks5Jg,-6R3wpks5Jg_0_5000,0,0,ukulele,train,v1s
-6tJgFlNo-c,-6tJgFlNo-c_0_5000,0,0,guitar,train,v1s
-7OvXNt9sjE,-7OvXNt9sjE_49000_59000,0,49,keyboard,train,v2
-7RYSjOitGI,-7RYSjOitGI_3000_8000,0,3,woman,train,v1s
-7xRJ-Osv1E,-7xRJ-Osv1E_5000_10000,0,5,woman,train,v1s
-84CyEpynsY,-84CyEpynsY_0_5000,0,0,dog,train,v1s
-8bJL3kpPGI,-8bJL3kpPGI_1000_6000,0,1,woman,train,v1s
-8cgbhIR_pw,-8cgbhIR_pw_0_5000,0,0,guitar,train,v1s
-8E7mUH4fdE,-8E7mUH4fdE_0_10000,0,0,bird,train,v2
-8mcyL3kWNQ,-8mcyL3kWNQ_8000_18000,0,8,emergency-car,train,v2
-8mcyL3kWNQ,-8mcyL3kWNQ_120000_130000,2,0,emergency-car,train,v2
-8mcyL3kWNQ,-8mcyL3kWNQ_135000_145000,2,15,emergency-car,train,v2
-8mcyL3kWNQ,-8mcyL3kWNQ_150000_160000,2,30,emergency-car,train,v2
-8mcyL3kWNQ,-8mcyL3kWNQ_316000_326000,5,16,emergency-car,train,v2
-8mcyL3kWNQ,-8mcyL3kWNQ_329000_339000,5,29,emergency-car,train,v2
-8RduCMIJG0,-8RduCMIJG0_0_5000,0,0,tabla,val,v1s
-8S9TKWIOSc,-8S9TKWIOSc_3000_8000,0,3,saw,train,v1s
-8YTu7ZGA2w,-8YTu7ZGA2w_0_5000,0,0,bus,test,v1s
-8Zeh__mQWY,-8Zeh__mQWY_2000_7000,0,2,ukulele,train,v1s
-8ZG1rJYPXs,-8ZG1rJYPXs_210000_220000,3,30,piano_cello,train,v2
-9-Jylm9GiA,-9-Jylm9GiA_440000_450000,7,20,off-the-screen,train,v2
-9-Jylm9GiA,-9-Jylm9GiA_470000_480000,7,50,woman_horse,train,v2
-9-Jylm9GiA,-9-Jylm9GiA_525000_535000,8,45,girl_horse,train,v2
-9-Jylm9GiA,-9-Jylm9GiA_535000_545000,8,55,girl_woman,train,v2
-9-Jylm9GiA,-9-Jylm9GiA_934000_944000,15,34,woman_horse,train,v2
-9-Jylm9GiA,-9-Jylm9GiA_980000_990000,16,20,horse,train,v2
-9-Jylm9GiA,-9-Jylm9GiA_1120000_1130000,18,40,horse,train,v2
-9-Jylm9GiA,-9-Jylm9GiA_1185000_1195000,19,45,girl_horse,train,v2
-9-Jylm9GiA,-9-Jylm9GiA_1300000_1310000,21,40,horse,train,v2
-9-Jylm9GiA,-9-Jylm9GiA_1320000_1330000,22,0,woman_horse,train,v2
-91lUg0_Gl8,-91lUg0_Gl8_0_5000,0,0,horse,train,v1s
-9GhPxGkpio,-9GhPxGkpio_4000_9000,0,4,bus,val,v1s
-9GRE84DX2M,-9GRE84DX2M_0_5000,0,0,guitar,train,v1s
-9HoMjD6Opk,-9HoMjD6Opk_0_5000,0,0,saw,val,v1s
-9hqBiuwp2Y,-9hqBiuwp2Y_0_5000,0,0,guitar,train,v1s
-9k2Z_hxYpU,-9k2Z_hxYpU_155000_165000,2,35,helicopter,train,v2
-9peZWsQHow,-9peZWsQHow_0_5000,0,0,bird,train,v1s
-9ummbDsgFM,-9ummbDsgFM_1000_6000,0,1,saw,train,v1s
-9YohOxYZ0Q,-9YohOxYZ0Q_3000_8000,0,3,dog,train,v1s
-ac1DBo8VzE,-ac1DBo8VzE_0_5000,0,0,mower,train,v1s
-AcwZ-xmAKY,-AcwZ-xmAKY_32000_42000,0,32,helicopter,train,v2
-AcwZ-xmAKY,-AcwZ-xmAKY_58000_68000,0,58,helicopter,train,v2
-AcwZ-xmAKY,-AcwZ-xmAKY_125000_135000,2,5,helicopter,train,v2
-AcwZ-xmAKY,-AcwZ-xmAKY_244000_254000,4,4,helicopter,train,v2
-AEIKTejHRo,-AEIKTejHRo_0_5000,0,0,tabla,train,v1s
-AEwV5b8gEo,-AEwV5b8gEo_1000_6000,0,1,woman,val,v1s
-AfJKhf6P3U,-AfJKhf6P3U_5000_10000,0,5,horse,val,v1s
-asB1JaTIy4,-asB1JaTIy4_4000_9000,0,4,bus,train,v1s
-AWooU1PDiM,-AWooU1PDiM_1000_6000,0,1,dog,test,v1s
-aY9NqOlPEI,-aY9NqOlPEI_4000_9000,0,4,cat,train,v1s
-Be9nUG_Vzk,-Be9nUG_Vzk_7000_17000,0,7,airplane,train,v2
-Be9nUG_Vzk,-Be9nUG_Vzk_25000_35000,0,25,airplane,train,v2
-Be9nUG_Vzk,-Be9nUG_Vzk_48000_58000,0,48,airplane,train,v2
-Be9nUG_Vzk,-Be9nUG_Vzk_60000_70000,1,0,airplane,train,v2
-Be9nUG_Vzk,-Be9nUG_Vzk_85000_95000,1,25,airplane,train,v2
-BFcExBQfAk,-BFcExBQfAk_0_5000,0,0,guitar,train,v1s
-BfXVjsdZV4,-BfXVjsdZV4_0_5000,0,0,woman,val,v1s
-bphV2LJ19k,-bphV2LJ19k_0_5000,0,0,marimba,train,v1s
-BpMHfa2Saw,-BpMHfa2Saw_0_5000,0,0,violin,test,v1s
-BrnUAUA37o,-BrnUAUA37o_0_5000,0,0,saw,val,v1s
-bW55o5ZfEg,-bW55o5ZfEg_0_5000,0,0,woman,train,v1s
-bxu7eXtSaE,-bxu7eXtSaE_0_5000,0,0,mower,train,v1s
-C66I4YOr4o,-C66I4YOr4o_2000_7000,0,2,piano,train,v1s
-c7szbkrqlE,-c7szbkrqlE_0_5000,0,0,tabla,test,v1s
-CekKuZXKJ8,-CekKuZXKJ8_2000_7000,0,2,gun,val,v1s
-cKbOLMm0yo,-cKbOLMm0yo_0_10000,0,0,keyboard,train,v2
-cKbOLMm0yo,-cKbOLMm0yo_4000_9000,0,4,keyboard,test,v1s
-cLOg0sQ0Zo,-cLOg0sQ0Zo_350000_360000,5,50,woman_man,train,v2
-cLOg0sQ0Zo,-cLOg0sQ0Zo_420000_430000,7,0,woman_man_hair-dryer,train,v2
-cobLsM6D-g,-cobLsM6D-g_0_5000,0,0,woman,train,v1s
-COelgvUEW4,-COelgvUEW4_3000_8000,0,3,woman,val,v1s
-CqCfXv4iBo,-CqCfXv4iBo_30000_40000,0,30,bird,train,v2
-cU44hzuMJ4,-cU44hzuMJ4_0_5000,0,0,car,train,v1s
-d1lAtyWGrM,-d1lAtyWGrM_0_5000,0,0,lion,val,v1s
-D58XABgrM8,-D58XABgrM8_1000_6000,0,1,tabla,train,v1s
-d6AgTYFgIE,-d6AgTYFgIE_0_5000,0,0,guitar,train,v1s
-dD8TEWUE0U,-dD8TEWUE0U_5000_10000,0,5,ukulele,train,v1s
-DecEWIegKU,-DecEWIegKU_40000_50000,0,40,hen,train,v2
-diPczRE_-M,-diPczRE_-M_0_5000,0,0,emergency-car,train,v1s
-DJo9iEhDRQ,-DJo9iEhDRQ_284000_294000,4,44,pig,train,v2
-DqNQZbYA_k,-DqNQZbYA_k_0_5000,0,0,woman,train,v1s
-DVM0BK_h5A,-DVM0BK_h5A_0_5000,0,0,saw,val,v1s
-e2HHcXb0m4,-e2HHcXb0m4_200000_210000,3,20,hen,train,v2
-e2HHcXb0m4,-e2HHcXb0m4_210000_220000,3,30,hen,train,v2
-E3eNjI4vEc,-E3eNjI4vEc_0_5000,0,0,bird,test,v1s
-e4wXAy1iVo,-e4wXAy1iVo_0_5000,0,0,ukulele,val,v1s
-EHk1UB4TAE,-EHk1UB4TAE_2000_7000,0,2,woman,val,v1s
-en-yFsmIO8,-en-yFsmIO8_0_5000,0,0,helicopter,test,v1s
-eTk4J5JTRU,-eTk4J5JTRU_5000_10000,0,5,saw,train,v1s
-Etzr_L-R1E,-Etzr_L-R1E_4000_9000,0,4,mower,test,v1s
-EuFwreCO2o,-EuFwreCO2o_9000_19000,0,9,cello_violin,test,v2
-EuFwreCO2o,-EuFwreCO2o_92000_102000,1,32,cello_violin,test,v2
-EuFwreCO2o,-EuFwreCO2o_118000_128000,1,58,cello_violin,test,v2
-eV9hw6kPRU,-eV9hw6kPRU_0_5000,0,0,saw,test,v1s
-f15fxSv3uw,-f15fxSv3uw_5000_10000,0,5,saw,train,v1s
-f4zQ9tUAkw,-f4zQ9tUAkw_0_5000,0,0,woman,train,v1s
-f7v4HQrYjY,-f7v4HQrYjY_0_5000,0,0,guitar,train,v1s
-Fch7ZrYmWA,-Fch7ZrYmWA_180000_190000,3,0,frying-food,train,v2
-FEPOSP7ay0,-FEPOSP7ay0_0_10000,0,0,bell,train,v2
-FEPOSP7ay0,-FEPOSP7ay0_34000_44000,0,34,bell,train,v2
-FEPOSP7ay0,-FEPOSP7ay0_101000_111000,1,41,bell,train,v2
-FEPOSP7ay0,-FEPOSP7ay0_126000_136000,2,6,bell,train,v2
-FEPOSP7ay0,-FEPOSP7ay0_169000_179000,2,49,bell,train,v2
-FEPOSP7ay0,-FEPOSP7ay0_270000_280000,4,30,bell,train,v2
-fGFQTGd2nA,-fGFQTGd2nA_2000_12000,0,2,emergency-car,test,v2
-FIGpCo9VoM,-FIGpCo9VoM_0_5000,0,0,guitar,test,v1s
-fj_43YABAQ,-fj_43YABAQ_0_5000,0,0,woman,train,v1s
-FlSh-N35M0,-FlSh-N35M0_0_5000,0,0,piano,test,v1s
-fyKVAZtl5Q,-fyKVAZtl5Q_0_5000,0,0,marimba,test,v1s
-FynDh8x2Go,-FynDh8x2Go_78000_88000,1,18,man_vacuum-cleaner,train,v2
-G08iN_t2QQ,-G08iN_t2QQ_0_5000,0,0,guitar,train,v1s
-gClFqWVvKg,-gClFqWVvKg_0_5000,0,0,guitar,val,v1s
-GM-ogU1Q4s,-GM-ogU1Q4s_0_5000,0,0,horse,test,v1s
-H1_pKntTx4,-H1_pKntTx4_0_5000,0,0,helicopter,train,v1s
-H1_pKntTx4,-H1_pKntTx4_12000_22000,0,12,helicopter,train,v2
-H1_pKntTx4,-H1_pKntTx4_200000_210000,3,20,helicopter,train,v2
-H1_pKntTx4,-H1_pKntTx4_290000_300000,4,50,helicopter,train,v2
-H1_pKntTx4,-H1_pKntTx4_410000_420000,6,50,helicopter,train,v2
-H6rJ0i2NME,-H6rJ0i2NME_55000_65000,0,55,helicopter,test,v2
-H6rJ0i2NME,-H6rJ0i2NME_68000_78000,1,8,helicopter,test,v2
-H6rJ0i2NME,-H6rJ0i2NME_91000_101000,1,31,helicopter,test,v2
-H6rJ0i2NME,-H6rJ0i2NME_205000_215000,3,25,helicopter,test,v2
-h9REoRVzYY,-h9REoRVzYY_3000_13000,0,3,clock,train,v2
-hBxP2bZq_8,-hBxP2bZq_8_0_5000,0,0,guitar,train,v1s
-HeRZSisQLY,-HeRZSisQLY_10000_20000,0,10,keyboard,test,v2
-HeRZSisQLY,-HeRZSisQLY_30000_40000,0,30,keyboard,test,v2
