vid,uid,s_min,s_sec,a_obj,split,label
7pNykt6zACc,7pNykt6zACc_558000_568000,9,18,piano,seen_train,v2
LR24x_BZ85I,LR24x_BZ85I_2958000_2968000,49,18,woman,seen_train,v2
SKi7ES0ogLI,SKi7ES0ogLI_50000_60000,0,50,man,seen_train,v2
9PHmJZwH6BM,9PHmJZwH6BM_85000_95000,1,25,train,seen_train,v2
WlL1KEYx8bY_0,WlL1KEYx8bY_0,0,0,tabla,seen_train,v1m
TW3EH4cnFZo,TW3EH4cnFZo_1003000_1013000,16,43,truck,seen_train,v2
wuAvhT10vLg,wuAvhT10vLg_183000_193000,3,3,erhu,seen_train,v2
1M3g7EzdbVc,1M3g7EzdbVc_30000_40000,0,30,keyboard_man,seen_train,v2
xEltohEjV5o_0,xEltohEjV5o_0,0,0,man,seen_train,v1m
4VehYs7LSSo,4VehYs7LSSo_20000_30000,0,20,woman_elephant,seen_train,v2
Z4CVbGw48bQ,Z4CVbGw48bQ_510000_520000,8,30,man_horse,seen_train,v2
z9E1jmx7lsY,z9E1jmx7lsY_195000_205000,3,15,ukulele,seen_train,v2
5EG5PtmbsR0,5EG5PtmbsR0_30000_40000,0,30,airplane,seen_train,v2
SRkXXESrtZo,SRkXXESrtZo_75000_85000,1,15,bassoon,seen_train,v2
8Ia7ZEjX16A,8Ia7ZEjX16A_210000_220000,3,30,guitar_cello_violin,seen_train,v2
KlGA4xlXjHg,KlGA4xlXjHg_320000_330000,5,20,woman_man,seen_train,v2
LMc8CtRYwvM,LMc8CtRYwvM_35000_45000,0,35,drum_marimba,seen_train,v2
xH-FMD4lU6I,xH-FMD4lU6I_154000_164000,2,34,parrot,seen_train,v2
vifFbeL5rOo,vifFbeL5rOo_93000_103000,1,33,piano_clarinet,seen_train,v2
sFAMC_KKp_g,sFAMC_KKp_g_30000_40000,0,30,hair-dryer,seen_train,v2
TXDKFphWqo0,TXDKFphWqo0_25000_35000,0,25,violin,seen_train,v2
9aw8QtQI1Xw,9aw8QtQI1Xw_44000_54000,0,44,off-the-screen,seen_train,v2
vdZq1LiYD_8,vdZq1LiYD_8_12000_22000,0,12,hair-dryer,seen_train,v2
HtsvslSafoA,HtsvslSafoA_0_10000,0,0,boat,seen_train,v2
Kd42SbTQv2U_6,Kd42SbTQv2U_6,0,0,woman_dog,seen_train,v1m
5rf4LGT_GMg,5rf4LGT_GMg_6000_16000,0,6,lion,seen_train,v2
ychyVrSUHwo,ychyVrSUHwo_540000_550000,9,0,woman,seen_train,v2
SFBdkBTesiE,SFBdkBTesiE_200000_210000,3,20,man,seen_train,v2
y0tsSV6vCGQ,y0tsSV6vCGQ_1352000_1362000,22,32,train,seen_train,v2
2VqnoV67t0g,2VqnoV67t0g_3000_13000,0,3,marimba,seen_train,v2
j1eagV4otM0,j1eagV4otM0_25000_35000,0,25,guitar,seen_train,v2
gau-DfyfJqY,gau-DfyfJqY_260000_270000,4,20,hair-dryer,seen_train,v2
QHttrMTur1w,QHttrMTur1w_105000_115000,1,45,lion,seen_train,v2
KXvmc3dLn3E,KXvmc3dLn3E_287000_297000,4,47,saw,seen_train,v2
-wb3JWo4qTg,-wb3JWo4qTg_100000_110000,1,40,woman,seen_train,v2
4HXvK9zcoyk,4HXvK9zcoyk_60000_70000,1,0,woman_guitar,seen_train,v2
xzxGfB9dilk,xzxGfB9dilk_5000_15000,0,5,handpan,seen_train,v2
2uvsFmvFlf8,2uvsFmvFlf8_26000_36000,0,26,sorna,seen_train,v2
_DAJ3RfRVrk,_DAJ3RfRVrk_25000_35000,0,25,woman,seen_train,v2
-CqCfXv4iBo,-CqCfXv4iBo_30000_40000,0,30,bird,seen_train,v2
Pe1LuVFTczE,Pe1LuVFTczE_195000_205000,3,15,guitar_pipa,seen_train,v2
MDyjY3uiWp0,MDyjY3uiWp0_0_10000,0,0,man,seen_train,v2
9MXL5OZlMxA,9MXL5OZlMxA_20000_30000,0,20,man,seen_train,v2
hFaYsjeVv-k,hFaYsjeVv-k_120000_130000,2,0,flute_piano,seen_train,v2
wnAOz5N5oQE,wnAOz5N5oQE_574000_584000,9,34,woman_dog,seen_train,v2
8p8zjfAiuJQ,8p8zjfAiuJQ_1605000_1615000,26,45,tabla_sitar,seen_train,v2
tKx7UIYN5cI,tKx7UIYN5cI_120000_130000,2,0,guitar_man,seen_train,v2
9xp46AwF9BY,9xp46AwF9BY_114000_124000,1,54,piano_violin,seen_train,v2
JKqxfu-9LmA,JKqxfu-9LmA_216000_226000,3,36,guitar_man,seen_train,v2
FBsYnc6YtWM,FBsYnc6YtWM_529000_539000,8,49,boat,seen_train,v2
u5eXHPwdmE8,u5eXHPwdmE8_37000_47000,0,37,guitar_dog_man,seen_train,v2
aYyRdsNQ_jg,aYyRdsNQ_jg_10000_20000,0,10,pipa,seen_train,v2
fwMn_vv6ydU,fwMn_vv6ydU_0_10000,0,0,flute_erhu,seen_train,v2
7ZjnU_lUoW8,7ZjnU_lUoW8_255000_265000,4,15,trumpet,seen_train,v2
dDZDnj6vQSo,dDZDnj6vQSo_95000_105000,1,35,piano_guitar,seen_train,v2
dFoGPhpDU3k,dFoGPhpDU3k_68000_78000,1,8,flute_bassoon_clarinet,seen_train,v2
2r7FkY9BbBs,2r7FkY9BbBs_38000_48000,0,38,saw,seen_train,v2
RYCJfGQzM5E,RYCJfGQzM5E_112000_122000,1,52,flute_bassoon_violin,seen_train,v2
lMYygmfENMY,lMYygmfENMY_80000_90000,1,20,drum,seen_train,v2
szZjrHNBsvo,szZjrHNBsvo_30000_40000,0,30,sorna,seen_train,v2
7Pj04yaBLPA,7Pj04yaBLPA_184000_194000,3,4,harmonica_guitar,seen_train,v2
ELZzyhWMdqA_1,ELZzyhWMdqA_1,0,0,guitar,seen_train,v1m
-4LKin0t85s,-4LKin0t85s_0_10000,0,0,tank,seen_train,v2
wQsCHZhKlX8,wQsCHZhKlX8_15000_25000,0,15,sitar,seen_train,v2
LR24x_BZ85I,LR24x_BZ85I_2790000_2800000,46,30,woman,seen_train,v2
VFjIoNwrKio,VFjIoNwrKio_12000_22000,0,12,sitar,seen_train,v2
hKf_flXQBq0,hKf_flXQBq0_170000_180000,2,50,saw_man,seen_train,v2
wrdAEmNvEj4,wrdAEmNvEj4_287000_297000,4,47,cat,seen_train,v2
iSBtK1T10Ew,iSBtK1T10Ew_1243000_1253000,20,43,drum_marimba,seen_train,v2
DdfijYqQQXg,DdfijYqQQXg_215000_225000,3,35,guitar,seen_train,v2
lULKn3Ejqds,lULKn3Ejqds_40000_50000,0,40,guitar_man,seen_train,v2
xGeqjlPz4kw_1,xGeqjlPz4kw_1,0,0,man_guitar,seen_train,v1m
qVm2x71nmNY,qVm2x71nmNY_71000_81000,1,11,drum_sorna,seen_train,v2
Y0t3yM_3ZwE,Y0t3yM_3ZwE_50000_60000,0,50,pig,seen_train,v2
MDyjY3uiWp0,MDyjY3uiWp0_297000_307000,4,57,saw,seen_train,v2
1GJiliDvXhk,1GJiliDvXhk_215000_225000,3,35,pipa,seen_train,v2
oKEJlEzRuh8,oKEJlEzRuh8_50000_60000,0,50,woman_guitar_man,seen_train,v2
hvFvTalWcSg,hvFvTalWcSg_0_10000,0,0,tractor,seen_train,v2
xEltohEjV5o_1,xEltohEjV5o_1,0,0,man,seen_train,v1m
dNYqIl7P9RQ,dNYqIl7P9RQ_183000_193000,3,3,airplane,seen_train,v2
4AzKi1mmdz0,4AzKi1mmdz0_10000_20000,0,10,pig,seen_train,v2
BnwHJWIsEYI,BnwHJWIsEYI_27000_37000,0,27,airplane,seen_train,v2
ywQ2MTeIai8,ywQ2MTeIai8_200000_210000,3,20,man,seen_train,v2
t_6avNV-o0Y,t_6avNV-o0Y_502000_512000,8,22,clipper,seen_train,v2
sPlV3RLV04I,sPlV3RLV04I_90000_100000,1,30,tuba,seen_train,v2
CNNb34fs-mU,CNNb34fs-mU_10000_20000,0,10,duck,seen_train,v2
I8K17mzV-QU_0,I8K17mzV-QU_0,0,0,keyboard,seen_train,v1m
6RxxHz-7eEQ,6RxxHz-7eEQ_0_10000,0,0,goose,seen_train,v2
y7EDuJf2ksQ,y7EDuJf2ksQ_79000_89000,1,19,piano_guitar_violin,seen_train,v2
k-QdTpIp5m0,k-QdTpIp5m0_358000_368000,5,58,missile-rocket,seen_train,v2
tfnfiqBHgg8,tfnfiqBHgg8_20000_30000,0,20,woman,seen_train,v2
T4LYhpdIub8,T4LYhpdIub8_260000_270000,4,20,cello_saxophone_drum_piano_trumpet,seen_train,v2
M79DVHaFu4A,M79DVHaFu4A_41000_51000,0,41,piano_erhu,seen_train,v2
rPaVbzHZCs4_0,rPaVbzHZCs4_0,0,0,man_cat,seen_train,v1m
FsdA8xRFHsE,FsdA8xRFHsE_0_10000,0,0,wolf,seen_train,v2
YgdvCtrWk3s_0,YgdvCtrWk3s_0,0,0,dog_mower,seen_train,v1m
p5uRwtw7S3E,p5uRwtw7S3E_5000_15000,0,5,cello_saxophone,seen_train,v2
sV1o5VmL-9g,sV1o5VmL-9g_1565000_1575000,26,5,dog,seen_train,v2
LWOrVaceQrI,LWOrVaceQrI_120000_130000,2,0,car,seen_train,v2
EMTM6gxHUUA,EMTM6gxHUUA_2000_12000,0,2,woman_boat,seen_train,v2
Vq8T5jtQhak,Vq8T5jtQhak_465000_475000,7,45,saxophone,seen_train,v2
HUD83KFqnNk,HUD83KFqnNk_11000_21000,0,11,goose,seen_train,v2
LR24x_BZ85I,LR24x_BZ85I_494000_504000,8,14,man,seen_train,v2
TW3EH4cnFZo,TW3EH4cnFZo_760000_770000,12,40,truck_car,seen_train,v2
fVqjdaoC9lY,fVqjdaoC9lY_310000_320000,5,10,goose,seen_train,v2
q6Vwbg3SOSc_0,q6Vwbg3SOSc_0,0,0,gun,seen_train,v1m
SFVZ2OklsVM,SFVZ2OklsVM_3187000_3197000,53,7,accordion_guitar_man,seen_train,v2
9xp46AwF9BY_3,9xp46AwF9BY_3,0,0,violin_piano,seen_train,v1m
dXMrbo1JefY,dXMrbo1JefY_110000_120000,1,50,guitar,seen_train,v2
s2jrXY8rGVw,s2jrXY8rGVw_65000_75000,1,5,harmonica,seen_train,v2
NpvPmqLKGf4,NpvPmqLKGf4_130000_140000,2,10,piano_drum_guitar,seen_train,v2
wmfiYI8N_CI,wmfiYI8N_CI_40000_50000,0,40,guitar,seen_train,v2
2MP5Ov_H4Go,2MP5Ov_H4Go_325000_335000,5,25,cat,seen_train,v2
emLStHiqfyo_2,emLStHiqfyo_2,0,0,violin,seen_train,v1m
yt70OlhPI-Q,yt70OlhPI-Q_10000_20000,0,10,piano,seen_train,v2
HkkaoyrOVG0,HkkaoyrOVG0_46000_56000,0,46,bird,seen_train,v2
neMxN7vqRZM,neMxN7vqRZM_0_10000,0,0,piano,seen_train,v2
CNNb34fs-mU,CNNb34fs-mU_100000_110000,1,40,duck,seen_train,v2
Ss60AMZc124,Ss60AMZc124_30000_40000,0,30,cello,seen_train,v2
eI6wo-_6tYk,eI6wo-_6tYk_15000_25000,0,15,guitar,seen_train,v2
0YKDwGCoMkw,0YKDwGCoMkw_115000_125000,1,55,gun_man,seen_train,v2
VFjIoNwrKio,VFjIoNwrKio_1260000_1270000,21,0,tabla_sitar,seen_train,v2
4UhSRwys27k,4UhSRwys27k_26000_36000,0,26,pipa,seen_train,v2
2BaKwd4On_g,2BaKwd4On_g_145000_155000,2,25,pipa,seen_train,v2
5j3E3xqciDY,5j3E3xqciDY_8000_18000,0,8,saxophone,seen_train,v2
FHBYsLVe3a4,FHBYsLVe3a4_15000_25000,0,15,guitar_pipa,seen_train,v2
iSBtK1T10Ew,iSBtK1T10Ew_1625000_1635000,27,5,piano,seen_train,v2
39xq5AATMp4,39xq5AATMp4_42000_52000,0,42,piano_dog,seen_train,v2
IGLTGSR_LBg_1,IGLTGSR_LBg_1,0,0,piano,seen_train,v1m
5mj2JhPAUBg,5mj2JhPAUBg_38000_48000,0,38,handpan,seen_train,v2
-cKbOLMm0yo,-cKbOLMm0yo_0_10000,0,0,keyboard,seen_train,v2
rdIsJDG2awY,rdIsJDG2awY_55000_65000,0,55,pipa,seen_train,v2
kdjLe4XLJRQ,kdjLe4XLJRQ_40000_50000,0,40,ukulele,seen_train,v2
O09RyqZLDU0,O09RyqZLDU0_138000_148000,2,18,erhu_pipa,seen_train,v2
_qzG1KvH8ww,_qzG1KvH8ww_0_10000,0,0,piano,seen_train,v2
W_OEzahaeQw,W_OEzahaeQw_0_10000,0,0,flute,seen_train,v2
47g7yaHKmLE,47g7yaHKmLE_40000_50000,0,40,flute_guitar_man_ukulele,seen_train,v2
04IUHjj3lpA,04IUHjj3lpA_30000_40000,0,30,keyboard,seen_train,v2
cupqcZEZdy4,cupqcZEZdy4_747000_757000,12,27,harmonica_guitar_man,seen_train,v2
pVTZOIHjIic,pVTZOIHjIic_474000_484000,7,54,woman,seen_train,v2
KC_rwPGtbsk,KC_rwPGtbsk_67000_77000,1,7,keyboard,seen_train,v2
CNNb34fs-mU,CNNb34fs-mU_40000_50000,0,40,duck,seen_train,v2
fSOB57egaTI,fSOB57egaTI_17000_27000,0,17,trombone,seen_train,v2
tI3-KXgd8Ng_0,tI3-KXgd8Ng_0,0,0,ukulele,seen_train,v1m
y5_FCDnJNGg,y5_FCDnJNGg_12000_22000,0,12,guitar,seen_train,v2
hUP7FZbgTlk,hUP7FZbgTlk_3759000_3769000,62,39,utv,seen_train,v2
wrdAEmNvEj4,wrdAEmNvEj4_744000_754000,12,24,cat,seen_train,v2
kLuuxnijxa0,kLuuxnijxa0_400000_410000,6,40,boat,seen_train,v2
VkzxuQKSqvY,VkzxuQKSqvY_183000_193000,3,3,woman,seen_train,v2
tTeOn3Y45Pc,tTeOn3Y45Pc_29000_39000,0,29,train,seen_train,v2
thRNOkg4z2I,thRNOkg4z2I_140000_150000,2,20,drum,seen_train,v2
A2p6U53vDGY,A2p6U53vDGY_9000_19000,0,9,train,seen_train,v2
XOGHKGBB08w,XOGHKGBB08w_500000_510000,8,20,bird_man,seen_train,v2
AUJ0gIvTpts,AUJ0gIvTpts_50000_60000,0,50,woman_guitar,seen_train,v2
q3E7rcBFs-Q,q3E7rcBFs-Q_120000_130000,2,0,woman_guitar,seen_train,v2
tMNVhoFOsWI_2,tMNVhoFOsWI_2,0,0,woman_piano,seen_train,v1m
mUN93MlvX64,mUN93MlvX64_6000_16000,0,6,piano_bassoon,seen_train,v2
l71OYdoOYQM,l71OYdoOYQM_40000_50000,0,40,piano_violin,seen_train,v2
-5npm3LS8mY,-5npm3LS8mY_35000_45000,0,35,bird,seen_train,v2
9nJeq5Sb7sk,9nJeq5Sb7sk_272000_282000,4,32,boat,seen_train,v2
HuFzVoyayj8,HuFzVoyayj8_330000_340000,5,30,boat,seen_train,v2
N0sLUy-foFk,N0sLUy-foFk_0_10000,0,0,woman,seen_train,v2
zEua8MvDtSI,zEua8MvDtSI_18000_28000,0,18,piano_clarinet,seen_train,v2
8hr42lVW_gk,8hr42lVW_gk_12000_22000,0,12,bassoon_clarinet,seen_train,v2
IXK8nCfl9fM,IXK8nCfl9fM_165000_175000,2,45,marimba,seen_train,v2
0eX-d_7XuKA,0eX-d_7XuKA_1000_11000,0,1,piano,seen_train,v2
TgtXSIb1nfA,TgtXSIb1nfA_650000_660000,10,50,man,seen_train,v2
2_CBZqpEhhs,2_CBZqpEhhs_38000_48000,0,38,guitar_man,seen_train,v2
6tTLxIKVtfE,6tTLxIKVtfE_0_10000,0,0,flute,seen_train,v2
2jza_R_oSuw,2jza_R_oSuw_253000_263000,4,13,truck,seen_train,v2
5YLQapaxA8o,5YLQapaxA8o_80000_90000,1,20,tuba,seen_train,v2
ERlBMaq67jo,ERlBMaq67jo_115000_125000,1,55,handpan,seen_train,v2
PcVCIA2ji9U,PcVCIA2ji9U_147000_157000,2,27,piano_bassoon,seen_train,v2
Cs9bkMQ4yuc,Cs9bkMQ4yuc_68000_78000,1,8,vacuum-cleaner,seen_train,v2
weBYMFJ_EwE,weBYMFJ_EwE_0_10000,0,0,woman,seen_train,v2
qu7DI5iu-QE,qu7DI5iu-QE_80000_90000,1,20,drum_guitar_man,seen_train,v2
XT_BNOvjIMY,XT_BNOvjIMY_284000_294000,4,44,woman_man,seen_train,v2
DkRteDZrcGs,DkRteDZrcGs_144000_154000,2,24,parrot,seen_train,v2
8RAGgYu2LlE,8RAGgYu2LlE_40000_50000,0,40,wolf,seen_train,v2
0MyGSviMyec,0MyGSviMyec_15000_25000,0,15,trombone,seen_train,v2
50Z4O0mzAXg,50Z4O0mzAXg_100000_110000,1,40,guitar_sitar,seen_train,v2
woqWkA4j8y0,woqWkA4j8y0_36000_46000,0,36,train,seen_train,v2
iux_t_UEsNU,iux_t_UEsNU_186000_196000,3,6,man,seen_train,v2
Hu9m_BJROKQ,Hu9m_BJROKQ_60000_70000,1,0,accordion,seen_train,v2
opEdBlrbC_g,opEdBlrbC_g_283000_293000,4,43,woman,seen_train,v2
E8zQtjE2Q0M,E8zQtjE2Q0M_220000_230000,3,40,handpan,seen_train,v2
Z0QaJdaprGk,Z0QaJdaprGk_155000_165000,2,35,guitar,seen_train,v2
OmBXoup0XRM,OmBXoup0XRM_78000_88000,1,18,guitar,seen_train,v2
SudgtBYPltc,SudgtBYPltc_258000_268000,4,18,axe,seen_train,v2
y0tsSV6vCGQ,y0tsSV6vCGQ_1095000_1105000,18,15,train,seen_train,v2
IjYLOsTBMcA,IjYLOsTBMcA_5000_15000,0,5,trombone,seen_train,v2
wrdAEmNvEj4,wrdAEmNvEj4_706000_716000,11,46,cat,seen_train,v2
01uIJMwnUvA_0,01uIJMwnUvA_0,0,0,man_ukulele,seen_train,v1m
SYfeA7hTBXM,SYfeA7hTBXM_161000_171000,2,41,man,seen_train,v2
GVJioseYJ1c,GVJioseYJ1c_250000_260000,4,10,man,seen_train,v2
il-sQzFR7yk,il-sQzFR7yk_180000_190000,3,0,woman,seen_train,v2
7oKjW1OIjuw,7oKjW1OIjuw_226000_236000,3,46,man,seen_train,v2
GLOh9CDp7dE_1,GLOh9CDp7dE_1,0,0,man_woman,seen_train,v1m
PuRzbBA-1DI,PuRzbBA-1DI_30000_40000,0,30,guitar_man,seen_train,v2
fQSZjLw8jVQ,fQSZjLw8jVQ_175000_185000,2,55,tank,seen_train,v2
kr0uREz1Vf0,kr0uREz1Vf0_83000_93000,1,23,tank,seen_train,v2
pTLlUmX-Ud0,pTLlUmX-Ud0_457000_467000,7,37,guitar_man,seen_train,v2
5lS4iiz_H7k,5lS4iiz_H7k_260000_270000,4,20,piano,seen_train,v2
88gZ0Mx-wkI,88gZ0Mx-wkI_98000_108000,1,38,sheep,seen_train,v2
KXvmc3dLn3E,KXvmc3dLn3E_1060000_1070000,17,40,tractor,seen_train,v2
LvdwLp6JWNM,LvdwLp6JWNM_3000_13000,0,3,wolf,seen_train,v2
oI8CFNgtooM,oI8CFNgtooM_105000_115000,1,45,piano,seen_train,v2
SFVZ2OklsVM,SFVZ2OklsVM_1070000_1080000,17,50,guitar_man,seen_train,v2
8ASwOZG1bOk,8ASwOZG1bOk_19000_29000,0,19,airplane,seen_train,v2
cpdkpKvSgTE,cpdkpKvSgTE_7000_17000,0,7,elephant,seen_train,v2
3Wmdv5SIZ5I,3Wmdv5SIZ5I_88000_98000,1,28,drum_marimba,seen_train,v2
CXmiVo3jjdw,CXmiVo3jjdw_21000_31000,0,21,marimba,seen_train,v2
Lyd7hfuLNS4,Lyd7hfuLNS4_320000_330000,5,20,piano,seen_train,v2
7pNykt6zACc,7pNykt6zACc_450000_460000,7,30,piano,seen_train,v2
hexEhlFU1Pg,hexEhlFU1Pg_35000_45000,0,35,hair-dryer,seen_train,v2
54rRL-6aP7Y,54rRL-6aP7Y_30000_40000,0,30,erhu,seen_train,v2
c_BXlfRU5l4,c_BXlfRU5l4_20000_30000,0,20,flute_piano,seen_train,v2
n7RM_np8lSs,n7RM_np8lSs_63000_73000,1,3,cello_guitar,seen_train,v2
g8LBnZOjHqA,g8LBnZOjHqA_1000_11000,0,1,parrot,seen_train,v2
O-4DhQwoneY,O-4DhQwoneY_54000_64000,0,54,drum_man_ukulele,seen_train,v2
IMyCto9mLUc,IMyCto9mLUc_75000_85000,1,15,handpan,seen_train,v2
KzAWRxjQ8JE,KzAWRxjQ8JE_114000_124000,1,54,cello_erhu,seen_train,v2
KFiWJE6DAOE,KFiWJE6DAOE_110000_120000,1,50,piano,seen_train,v2
LaBSM6DWJow,LaBSM6DWJow_15000_25000,0,15,piano,seen_train,v2
fQSZjLw8jVQ,fQSZjLw8jVQ_392000_402000,6,32,tank,seen_train,v2
HtsvslSafoA,HtsvslSafoA_574000_584000,9,34,boat,seen_train,v2
0mqckt2Uca8_1,0mqckt2Uca8_1,0,0,guitar_piano,seen_train,v1m
hh5e4B6FXkI,hh5e4B6FXkI_24000_34000,0,24,off-the-screen,seen_train,v2
LCUHL9I-K7I,LCUHL9I-K7I_10000_20000,0,10,hair-dryer,seen_train,v2
4GUrjmIZcIQ,4GUrjmIZcIQ_120000_130000,2,0,piano_bassoon,seen_train,v2
JAQX39MO6x0,JAQX39MO6x0_53000_63000,0,53,tuba,seen_train,v2
HtsvslSafoA,HtsvslSafoA_468000_478000,7,48,woman_boat,seen_train,v2
_Y-J232faOk,_Y-J232faOk,0,0,lion,seen_train,v1m
zU0iA_sBzg0,zU0iA_sBzg0_216000_226000,3,36,boat,seen_train,v2
0J-RvmBLbb8,0J-RvmBLbb8_140000_150000,2,20,keyboard,seen_train,v2
FmLC0htEXVE,FmLC0htEXVE_56000_66000,0,56,lion,seen_train,v2
2DF8mtDke8k,2DF8mtDke8k_460000_470000,7,40,frying-food,seen_train,v2
cupqcZEZdy4,cupqcZEZdy4_833000_843000,13,53,man,seen_train,v2
nKFKQPYiFvQ,nKFKQPYiFvQ_550000_560000,9,10,piano_saxophone,seen_train,v2
6uFdi6GOztI,6uFdi6GOztI_30000_40000,0,30,cat_car,seen_train,v2
FBsYnc6YtWM,FBsYnc6YtWM_490000_500000,8,10,boat,seen_train,v2
xLXcCv45AYg_18,xLXcCv45AYg_18,0,0,dog,seen_train,v1m
Zk82KCdD9qI,Zk82KCdD9qI_20000_30000,0,20,cat,seen_train,v2
2G2VaBX24So,2G2VaBX24So_10000_20000,0,10,cello_violin,seen_train,v2
V5RarUsNClU,V5RarUsNClU_3000_13000,0,3,tuba,seen_train,v2
VZTsdI-hbpw_1,VZTsdI-hbpw_1,0,0,woman,seen_train,v1m
r4NdM595K5c,r4NdM595K5c_40000_50000,0,40,flute_guitar,seen_train,v2
-QLfr-nYbPA,-QLfr-nYbPA_120000_130000,2,0,guitar,seen_train,v2
DssK8C9eesY,DssK8C9eesY_60000_70000,1,0,bird,seen_train,v2
--KCIeTv6PM,--KCIeTv6PM_14000_24000,0,14,cat,seen_train,v2
5FYG_Wtet7U,5FYG_Wtet7U_250000_260000,4,10,handpan_guitar_violin,seen_train,v2
jNIo5z5uQ5U,jNIo5z5uQ5U_66000_76000,1,6,drum_marimba,seen_train,v2
9Yc2rdz4tUY,9Yc2rdz4tUY_0_10000,0,0,pig,seen_train,v2
HAIisN4LbOs,HAIisN4LbOs_41000_51000,0,41,piano_clarinet,seen_train,v2
ZwKV5MlCf60,ZwKV5MlCf60_32000_42000,0,32,guitar_saxophone,seen_train,v2
4ZPJ867OBo4,4ZPJ867OBo4_75000_85000,1,15,piano_bassoon,seen_train,v2
lULKn3Ejqds,lULKn3Ejqds_85000_95000,1,25,guitar_man,seen_train,v2
flrwOS5vh-o,flrwOS5vh-o_1000_11000,0,1,marimba,seen_train,v2
lcOP60uXMeI,lcOP60uXMeI_8000_18000,0,8,piano_cello_clarinet,seen_train,v2
-458eoazpK8,-458eoazpK8_0_10000,0,0,truck,seen_train,v2
9aw8QtQI1Xw,9aw8QtQI1Xw_24000_34000,0,24,off-the-screen,seen_train,v2
zstao4nIPmU,zstao4nIPmU_370000_380000,6,10,man,seen_train,v2
-EuFwreCO2o,-EuFwreCO2o_9000_19000,0,9,cello_violin,seen_train,v2
CPiOGMl59L4,CPiOGMl59L4_30000_40000,0,30,guitar_man,seen_train,v2
3gbLFB-r9Fs,3gbLFB-r9Fs_1182000_1192000,19,42,motorcycle,seen_train,v2
-kWZg6wJj-o,-kWZg6wJj-o_3000_13000,0,3,sheep,seen_train,v2
TXDKFphWqo0,TXDKFphWqo0_115000_125000,1,55,violin,seen_train,v2
FHSoSamzdAY,FHSoSamzdAY_800000_810000,13,20,guitar_violin,seen_train,v2
nvlCOZgLMjU,nvlCOZgLMjU_132000_142000,2,12,guitar_man,seen_train,v2
XMjjIN_Qpu0,XMjjIN_Qpu0_30000_40000,0,30,woman_piano,seen_train,v2
FsnWdw2y5_Q,FsnWdw2y5_Q_35000_45000,0,35,airplane,seen_train,v2
Jj1yVuJtIGA,Jj1yVuJtIGA_0_10000,0,0,horse,seen_train,v2
